occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
BogFungi_3013,Cortinarius aurantiobasis/cinnamomeus/davemallochii,Cortinarius aurantiobasis Ammirati & A.H.Sm.,3351066,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius aurantiobasis,Cortinarius aurantiobasis,Ammirati & A.H.Sm.,3351066,
BogFungi_3014,Cortinarius semisanguineus/cruentiphyllus,Cortinarius semisanguineus (Fr.) Gillet,2529327,EXACT,97,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius semisanguineus,Cortinarius semisanguineus,(Fr.) Gillet,2529327,
BogFungi_3015,Cortinarius rubellus,Cortinarius rubellus Cooke,2528663,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius rubellus,Cortinarius rubellus,Cooke,2528663,
BogFungi_3016,Lactarius musteus,Lactarius musteus Fr.,5248725,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius musteus,Lactarius musteus,Fr.,5248725,
BogFungi_3017,Cortinarius,"Cortinarius (Pers.) Gray, 1821",2524960,EXACT,92,DOUBTFUL,GENUS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,,Cortinarius,"(Pers.) Gray, 1821",2524960,
BogFungi_3018,Bogbodia uda,Bogbodia uda (Pers.) Redhead,7367525,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Bogbodia,Bogbodia uda,Bogbodia uda,(Pers.) Redhead,7367525,
BogFungi_3019,Cortinarius aurantiobasis/cinnamomeus/davemallochii,Cortinarius aurantiobasis Ammirati & A.H.Sm.,3351066,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius aurantiobasis,Cortinarius aurantiobasis,Ammirati & A.H.Sm.,3351066,
BogFungi_3020,Cortinarius aurantiobasis/cinnamomeus/davemallochii,Cortinarius aurantiobasis Ammirati & A.H.Sm.,3351066,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius aurantiobasis,Cortinarius aurantiobasis,Ammirati & A.H.Sm.,3351066,
BogFungi_3021,Galerina calyptrata s.l.,Galerina calyptrata P.D.Orton,2533899,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,Galerina calyptrata,Galerina calyptrata,P.D.Orton,2533899,
BogFungi_3022,Cortinarius glandicolor/coleoptera,Cortinarius glandicolor (Fr.) Fr.,7244568,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius glandicolor,Cortinarius glandicolor,(Fr.) Fr.,7244568,
BogFungi_3023,Cortinarius semisanguineus/cruentiphyllus,Cortinarius semisanguineus (Fr.) Gillet,2529327,EXACT,97,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius semisanguineus,Cortinarius semisanguineus,(Fr.) Gillet,2529327,
BogFungi_3024,Cortinarius causticus,Cortinarius causticus Fr.,2529159,EXACT,98,SYNONYM,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Thaxterogaster,Thaxterogaster causticus,Cortinarius causticus,Fr.,2529159,11975251
BogFungi_3025,Bogbodia uda,Bogbodia uda (Pers.) Redhead,7367525,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Bogbodia,Bogbodia uda,Bogbodia uda,(Pers.) Redhead,7367525,
BogFungi_3026,Cortinarius armeniacus/kauffmanianus,Cortinarius armeniacus (Schaeff.) Zawadzki,12012261,EXACT,97,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius armeniacus,Cortinarius armeniacus,(Schaeff.) Zawadzki,12012261,
BogFungi_3027,Cortinarius aurantiobasis/cinnamomeus/davemallochii,Cortinarius aurantiobasis Ammirati & A.H.Sm.,3351066,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius aurantiobasis,Cortinarius aurantiobasis,Ammirati & A.H.Sm.,3351066,
BogFungi_3028,Hebeloma incarnatulum,Hebeloma incarnatulum A.H.Sm.,2533099,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hebeloma,Hebeloma incarnatulum,Hebeloma incarnatulum,A.H.Sm.,2533099,
BogFungi_3029,Cortinarius aurantiobasis/cinnamomeus/davemallochii,Cortinarius aurantiobasis Ammirati & A.H.Sm.,3351066,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius aurantiobasis,Cortinarius aurantiobasis,Ammirati & A.H.Sm.,3351066,
