eventID,parentEventID,habitat,decimalLatitude,decimalLongitude,minimumElevationInMeters,samplingProtocol,sampleSizeValue,sampleSizeUnit,eventDate,country,countryCode,stateProvince,municipality,locality,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision
BogFungi_Plot_047_001,BogFungi_Plot_047,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89156,68.68552,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_048_001,BogFungi_Plot_048,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89157,68.68547,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_049_001,BogFungi_Plot_049,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89159,68.68540,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_050_001,BogFungi_Plot_050,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89160,68.68529,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_051_001,BogFungi_Plot_051,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89160,68.68516,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_052_001,BogFungi_Plot_052,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89161,68.68509,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_053_001,BogFungi_Plot_053,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89162,68.68500,34,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_054_001,BogFungi_Plot_054,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89163,68.68492,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_055_001,BogFungi_Plot_055,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89165,68.68483,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_056_001,BogFungi_Plot_056,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89166,68.68475,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_057_001,BogFungi_Plot_057,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89167,68.68468,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_058_001,BogFungi_Plot_058,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89171,68.68457,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_059_001,BogFungi_Plot_059,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89171,68.68442,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_060_001,BogFungi_Plot_060,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89171,68.68431,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
